iter	Passed	Remaining
0	145	14557
1	147	7294
2	147	4832
3	149	3624
4	164	3150
5	178	2827
6	191	2565
7	203	2365
8	222	2272
9	242	2202
10	258	2112
11	275	2041
12	293	1989
13	312	1938
14	331	1897
15	350	1859
16	370	1830
17	372	1717
18	391	1688
19	395	1599
20	413	1576
21	425	1528
22	430	1459
23	452	1451
24	471	1432
25	489	1413
26	506	1386
27	510	1329
28	526	1306
29	542	1283
30	564	1275
31	577	1244
32	593	1222
33	610	1202
34	612	1155
35	629	1137
36	635	1099
37	651	1079
38	667	1060
39	681	1040
40	700	1025
41	711	999
42	712	961
43	730	945
44	740	921
45	758	907
46	768	882
47	784	866
48	803	852
49	812	828
50	829	813
51	845	796
52	863	782
53	880	766
54	898	751
55	917	737
56	934	721
57	948	703
58	964	686
59	980	670
60	1000	655
61	1019	641
62	1021	616
63	1038	600
64	1058	586
65	1076	570
66	1092	554
67	1109	538
68	1119	519
69	1135	502
70	1153	487
71	1170	471
72	1188	455
73	1206	440
74	1224	424
75	1242	408
76	1245	388
77	1263	372
78	1265	352
79	1281	336
80	1299	320
81	1316	304
82	1316	285
83	1335	270
84	1352	254
85	1372	239
86	1375	221
87	1383	204
88	1391	187
89	1400	171
90	1413	155
91	1422	139
92	1429	122
93	1438	107
94	1447	91
95	1458	75
96	1473	60
97	1482	45
98	1494	30
99	1502	15
100	1512	0
