iter	RMSE
0	11.04619072
1	8.872979774
2	8.43991176
3	5.957429258
4	4.73452176
5	2.905233897
6	2.009168836
7	1.361237857
8	0.7459317749
9	0.3964470584
10	0.2061039993
11	0.1126038349
12	0.0579770055
13	0.03046386611
14	0.01705025845
15	0.009836845561
16	0.007138454351
17	0.005872637856
18	0.003813956476
19	0.002709172146
20	0.00178548943
21	0.001254299199
22	0.0008800725688
23	0.0006138077172
24	0.0003961333259
25	0.000271961746
26	0.0001476982788
27	0.0001068921399
28	5.917328325e-05
29	3.405249177e-05
30	1.857231899e-05
31	1.195323343e-05
32	6.93736146e-06
33	4.301105179e-06
34	3.776382486e-06
35	2.854482836e-06
36	1.801064102e-06
37	1.097177827e-06
38	7.861335862e-07
39	4.977946397e-07
40	2.876154397e-07
41	1.945479577e-07
42	1.830709233e-07
43	1.079422619e-07
44	8.888513434e-08
45	5.264305859e-08
46	3.278737774e-08
47	1.795628872e-08
48	1.144342515e-08
49	7.489960791e-09
50	4.370265476e-09
51	2.413437101e-09
52	1.472868958e-09
53	9.533571179e-10
54	5.640538508e-10
55	3.375489563e-10
56	2.066361856e-10
57	1.47824505e-10
58	9.21949783e-11
59	5.571846699e-11
60	3.66929371e-11
61	2.707333501e-11
62	2.224751318e-11
63	1.292732537e-11
64	9.795379146e-12
65	5.402245137e-12
66	3.116978302e-12
67	2.009103574e-12
68	1.442544514e-12
69	8.672770341e-13
70	5.022974473e-13
71	3.259728399e-13
72	1.754874871e-13
73	1.20804741e-13
74	7.720574585e-14
75	4.627543528e-14
76	3.754135041e-14
77	2.221744796e-14
78	2.038223113e-14
79	1.283887094e-14
80	9.629764562e-15
81	7.253028729e-15
82	7.052202433e-15
83	6.568111972e-15
84	6.080336846e-15
85	4.934442387e-15
86	4.168751372e-15
87	4.168751372e-15
88	4.168751372e-15
89	4.168751372e-15
90	4.168751372e-15
91	4.168751372e-15
92	4.168751372e-15
93	4.168751372e-15
94	4.168751372e-15
95	4.168751372e-15
96	4.168751372e-15
97	4.168751372e-15
98	4.168751372e-15
99	4.168751372e-15
100	4.168751372e-15
