iter	Passed	Remaining
0	135	13597
1	137	6799
2	138	4511
3	139	3390
4	200	3850
5	226	3587
6	263	3535
7	268	3125
8	290	2966
9	319	2908
10	357	2925
11	382	2836
12	420	2845
13	452	2810
14	477	2735
15	500	2657
16	523	2584
17	530	2447
18	555	2399
19	559	2265
20	600	2286
21	615	2210
22	620	2104
23	648	2079
24	672	2045
25	698	2014
26	723	1982
27	727	1896
28	769	1909
29	803	1902
30	829	1872
31	847	1827
32	1013	2087
33	1106	2180
34	1108	2090
35	1133	2045
36	1144	1980
37	1169	1939
38	1194	1899
39	1229	1875
40	1264	1851
41	1274	1790
42	1275	1720
43	1305	1691
44	1312	1633
45	1337	1598
46	1353	1555
47	1377	1521
48	1401	1487
49	1425	1453
50	1451	1423
51	1482	1396
52	1504	1362
53	1526	1328
54	1556	1302
55	1592	1279
56	1622	1252
57	1645	1219
58	1668	1187
59	1698	1160
60	1721	1129
61	1746	1098
62	1764	1064
63	1796	1038
64	1822	1009
65	1844	978
66	1867	947
67	1902	923
68	1913	887
69	1945	861
70	1973	833
71	1994	803
72	2017	773
73	2042	745
74	2066	716
75	2094	688
76	2096	653
77	2130	628
78	2133	594
79	2155	565
80	2179	538
81	2202	510
82	2213	479
83	2236	452
84	2260	425
85	2303	401
86	2308	371
87	2320	342
88	2336	315
89	2351	287
90	2362	259
91	2377	232
92	2392	205
93	2411	179
94	2430	153
95	2447	127
96	2485	102
97	2501	76
98	2508	50
99	2524	25
100	2540	0
