iter	Passed	Remaining
0	136	13692
1	141	7014
2	142	4667
3	147	3583
4	171	3287
5	185	2944
6	193	2593
7	196	2287
8	211	2160
9	225	2056
10	240	1965
11	254	1884
12	268	1814
13	282	1755
14	296	1697
15	311	1654
16	326	1612
17	327	1511
18	342	1479
19	348	1410
20	364	1388
21	371	1333
22	374	1271
23	388	1247
24	404	1228
25	419	1208
26	433	1189
27	436	1136
28	450	1118
29	465	1101
30	479	1082
31	489	1054
32	506	1042
33	519	1024
34	521	983
35	535	967
36	539	933
37	553	918
38	569	905
39	583	890
40	603	883
41	611	859
42	612	826
43	626	812
44	634	789
45	647	774
46	654	752
47	672	742
48	686	728
49	699	713
50	727	712
51	755	712
52	775	702
53	790	688
54	814	681
55	841	676
56	860	664
57	878	651
58	893	635
59	908	620
60	924	606
61	939	590
62	941	567
63	956	553
64	971	538
65	986	523
66	1001	508
67	1016	493
68	1023	474
69	1038	460
70	1054	445
71	1069	430
72	1085	416
73	1106	403
74	1121	388
75	1139	374
76	1141	355
77	1156	341
78	1157	322
79	1172	307
80	1187	293
81	1202	278
82	1203	260
83	1217	246
84	1232	231
85	1247	217
86	1248	200
87	1255	185
88	1262	170
89	1269	155
90	1278	140
91	1285	125
92	1293	111
93	1299	96
94	1308	82
95	1315	68
96	1322	54
97	1329	40
98	1337	27
99	1343	13
100	1351	0
