iter	Passed	Remaining
0	167	16706
1	168	8326
2	168	5509
3	170	4125
4	209	4017
5	228	3621
6	238	3207
7	248	2889
8	273	2792
9	299	2729
10	322	2637
11	346	2567
12	373	2527
13	395	2460
14	419	2402
15	442	2351
16	458	2263
17	459	2120
18	480	2075
19	484	1961
20	507	1931
21	524	1884
22	529	1796
23	560	1797
24	576	1751
25	597	1722
26	620	1700
27	625	1629
28	645	1602
29	665	1574
30	685	1548
31	716	1544
32	740	1525
33	762	1503
34	768	1448
35	793	1433
36	799	1382
37	823	1365
38	853	1356
39	877	1338
40	914	1338
41	931	1309
42	933	1258
43	959	1243
44	970	1207
45	1003	1200
46	1014	1165
47	1039	1147
48	1060	1125
49	1070	1092
50	1095	1073
51	1120	1055
52	1144	1036
53	1166	1015
54	1190	995
55	1218	979
56	1243	959
57	1267	939
58	1291	919
59	1323	904
60	1346	882
61	1365	859
62	1375	829
63	1399	809
64	1424	789
65	1449	768
66	1478	750
67	1506	731
68	1519	704
69	1542	682
70	1565	661
71	1587	639
72	1608	617
73	1632	595
74	1655	573
75	1679	552
76	1682	524
77	1704	502
78	1705	475
79	1728	453
80	1752	432
81	1836	425
82	1838	398
83	1860	376
84	1880	353
85	1902	331
86	1906	306
87	1917	283
88	1934	260
89	1946	237
90	1956	214
91	1969	192
92	1977	170
93	1984	147
94	1997	126
95	2007	104
96	2018	83
97	2027	62
98	2042	41
99	2049	20
100	2061	0
